Saving 1000x16x1 network
0,0,0.233438
0,1,0.151260
1,0,0.308787
1,1,0.274512
2,0,0.135861
2,1,0.154031
3,0,0.014108
3,1,0.718182
4,0,0.026088
4,1,0.279154
5,0,0.449166
5,1,0.620407
6,0,0.209251
6,1,0.155683
7,0,0.850428
7,1,0.684840
8,0,0.568103
8,1,0.894305
9,0,0.571230
9,1,0.893157
10,0,0.177816
10,1,0.676374
11,0,0.418322
11,1,0.725886
12,0,0.191451
12,1,0.154433
13,0,0.032484
13,1,0.566914
14,0,0.399143
14,1,0.009424
15,0,0.206847
15,1,0.632486
16,0,0.160872
16,1,0.515540
